Name of Trust,Name of Hospital site,Trust ODS Code
Manchester University NHS Foundation Trust,North Manchester,R0A
Barts Health NHS Trust,Whipps Cross,R1H
Torbay and South Devon NHS Foundation Trust,Torbay,RA9
The Hillingdon Hospitals NHS Foundation Trust,Hillingdon,RAS
Mid Cheshire Hospital NHS Trust,Leighton,RBT
Airedale NHS Foundation Trust,Airedale,RCF
Queen Elizabeth Hospital Kings Lynn NHS Trust,Kings Lynn,RCX
Frimley Health NHS Foundation Trust,Frimley,RDU
North West Anglia NHS Foundation Trust,Hinchingbrooke,RGN
James Paget University Hospital NHS Trust,James Paget,RGP
West Suffolk NHS Foundation Trust,West Suffolk,RGR
Somerset NHS Foundation Trust,Somerset,RH5
Royal Devon University Healthcare NHS Foundation Trust,North Devon,RH8
Royal Berkshire NHS Foundation Trust,Royal Berkshire,RHW
Hampshire Hospitals NHS Foundation Trust,Hampshire,RN5
Kettering General Hospital NHS Foundation Trust,Kettering,RNQ
The Princess Alexandra Hospital NHS Trust,PAH,RQW
University Hospitals of Morecambe Bay NHS Foundation Trust,Royal Lancaster Infirmary,RTX
Epsom and St Helier University Hospitals NHS Trust,Epsom,RVR
University Hospitals of Leicester NHS Trust,Leicester,RWE
West Hertfordshire Teaching Hospitals NHS Trust,Watford,RWG
Nottingham University Hospitals NHS Trust,Nottingham,RX1
East Sussex Healthcare NHS Trust,East Sussex,RXC
Lancashire Teaching Hospitals NHS Foundation Trust,Royal Preston,RXN
Imperial College Healthcare NHS Trust,St Marys,RYJ
Imperial College Healthcare NHS Trust,Charing Cross,RYJ
Imperial College Healthcare NHS Trust,Hammersmith,RYJ
